model_uid,x,y,z
5ae37b4d106f47b2befe24634fe2bbe0,,,
4774474760bf4aad80568195d6f2c63e,,,
1a50b0867873481681109c8f924df0a3,,,
93e565159eba4985ab50c53bfc90a9f5,,,
2f132a824bdf4ad1be432fb036243e49,,,
c1c0a8fbb8304502b79e31b2224daf01,,,
7fb97ec39c0549e88fbd309c6808e564,,,
7006cdd8609a4a9282fb5325a2a38c03,,,
1059e7b781c14e83a6aaf83312c478bd,,,
5776244620f14d8fa923b96a8cfc4484,,,
043a29843dc0421d90eaba9332764c1d,,,
2315765e36ff49ff88d63abe03610c7f,,,
591a76b35b094562b9dec8ffa5b77387,,,
dfaa706052f34a089bdc4bf5f0d3f43c,,,
de132c5043d74403bc4654d72ac04f0b,,,
dc95731cdfee4b3e9d19a647ffd4ed58,,,
1f180101e4b542e4957a3c32c46680bc,,,
28e04e95351c44d0a61a0340fe2364ae,,,
1b2f5353c6fa48609747059f7360470f,,,
81a7f77e245048f89f0eff3883f097c5,,,
574c2893df004b27a9ef344049a2ca4f,,,
76d7c3492b0f436cae3f0de9996b58aa,,,
b47b0158ae6c4512b4159d892a65d81f,,,
a391b891ab5b4d00a137e12d6000fe0f,,,
c466075e60544f7dbbe783ed21b5c79d,,,
5181197cdcea4f69b919865aca3d3fbc,,,
b390bab15ff94759a9af7b30eb036ccd,,,
432e8c98f5ca4d9a93294e47322d6b4f,,,
49bdab1714c7405591df9c47aca92cba,,,
7e50bd45750b4b64bf22552914935acf,,,
637ccd0020b3493b94f9efdef354bc34,,,
e32e8129f48e4547b8bc988fdec22323,,,
881e556f0fd040e89af0ddce29010029,,,
79517e72e5a049638deffbc98f3d99ed,,,
e3f1f19053be4485acaf59e4eb52b83e,,,
d258b1f1872d4a229b0f5e556b0677d9,,,
5ad12c25507246fe9c717dc44e7a0f17,,,
e836bfa3baeb4aeea792019ce0e6d97e,,,
830ce6dd40064364b86d27cc4b89b1b2,,,
2b8ff29d76c345e2a574a76496921047,,,
9f9f1f30e04a43c08e19bf2fb357928b,,,
b81da2f13cc74334bb571c471a15c50a,,,
7e4deaf733de47279487e3519dcb39ad,,,
1a77cb11bd7249b7ae1f063dce247c2f,,,
dba61d5259204d6dabd5455ba22a9f86,,,
154a6d5a1c004489ab92ffb5bcf86f46,,,
9e4c73d924914de9a46e6a08aa8eabb4,,,
22adead908904b1da3dd998a8741be05,,,
ca968186ebb1429293b084fb04e0b5c6,,,
c948b05a704647b692749baebf11710d,,,
8d9ccb5816ea45cda29b7292430de834,,,
c4541cdfbb4a4d1a91d7f3b6a95d7a41,,,
a36c004ea55d420395e2952ccd01deaa,,,
646343f5c77940638a67484d023e6854,,,
25b3a8e5ed17496fafe617a35facb2d1,,,
a1d5b46e004e4a0cadc3cd628f7cc2e9,,,
0d05190ca8a147eeabca496d708f86c1,,,
f200da8b97f7416db524e88c6a9e3225,,,
47f770f7bad94bcb9eb923b849b3eb07,,,
4bed07d2e6e941a291adf01cfd4bd492,,,
3db4ac2a2f7a4e9795bafb410efc5b7e,,,
958975e0374b4344ae5d3f91a4b67fba,,,
7f8004fe5bf2480e836011ba70d2c423,,,
17233066be654ed689f3443154141374,,,
782cee3d2f824d2b925538b5d67778b5,,,
2fc0dedd62264f7780668da2490469d6,,,
33dda0d266df43f98145f728f6f49291,,,
12523f8dde5e47cd9ed49d2900d35dc8,,,
145b3c837f8e4787a35c822dcf9b82b7,,,
eb65dc8b40bf4b88bb71bb95b18a80e6,,,
5cd618ce407d4752bb755c53b8f86f9a,,,
d6fcfa410dfe402ba412cc7abe756cfd,,,
821f57d137454002bc0211d5ee58b6b1,,,
156364b54cfb45a58b88431b6c8ee6bc,,,
b9055360cf9a486a8e320ef66e58b811,,,
406e976873e14059bba1a7e77254d22d,,,
fe6a6e9cf17545179f8c6b81e5499b46,,,
2a145b57f3b84f75b87d210296aa9726,,,
25534804aaef429d9430851b709ca289,,,
a5b29a29005041dca3d8bfbc8c57c7e2,,,
4c73be3c326942b1a7fc5125f6fcfa8e,,,
6be4516021f145eeb197233794449cbf,,,
c65d2e46bea1435e9f181c355cb75308,,,
f7615bf3f44d4347bdc318d45b1bba60,,,
49a289b32d064196968c61ec07e1f81a,,,
374b709839644bc382418583b0dd906b,,,
4b6901b1357f4d7ba4801a15552cdc38,,,
2cf8ef623f0147949971e7fde49197cf,,,
a8105f496819446d999a466a274f960f,,,
3a7344b6c96740248844b150f2b6f9dc,,,
40d9ba7347e542d192077ea13301025b,,,
e0d6a27616724ff08604da137390e853,,,
72e529836ebb4ec7b499993c12ad4858,,,
6724e5968894459286a18f6d9caedde4,,,
68ac656b32564697b536d3fe75f68357,,,
90ed2b7744134172bc8a24e37431ad39,,,
fd77d71d43da4f05b7d9adb5672b0481,,,
e158531b92114958be372dd4bae6f772,,,
621be7f4eeeb4bcdabc8ecccdc8f0ee4,,,
8bd34787c6794d798812e6cba67615ea,,,
cf2510e1aa50468a81e3b19bb28f113c,,,
5e7ffbf292df4cbe9c6213db6ce8d7b6,,,
1676d953ab8f44fc9af723d8e9258ee1,,,
21480103f9f44a52a5ee8bc37fb70bab,,,
7a48fdd607cb48f79ddd815f5c0ac895,,,
339b42b5fe684ef9983434c5a18861f9,,,
8b9e41ca7a11402782b74f25b4377fa4,,,
1d24816602d943d1ae46f8df0bce9f48,,,
45bb173c0384450487421b687bf3bf5b,,,
ce3d838a80b54c1d901c47f23acbbbbe,,,
18336f26bae84113ba32d714a91a464b,,,
247427e297e94543a85e1362e6f3ddd8,,,
8ad89c53dc9842bfa7f623da25a770ae,,,
de0270387cd644379ca44aaea41bdb48,,,
01e66f0d11bb481b8197a928e220821a,,,
68bce8b71469439790e77d1e109c84cc,,,
a0f40e7cb60b476c95f11205ba844eb6,,,
26e7425e03824753809f9a08c9fce951,,,
776d9405f4a14b0a985702822bd03aac,,,
e776cc1b82d54420a55e924510c027c5,,,
85785f16eb9948a98b9e0873dc4019cc,,,
43832692129a43ba9c5501cf627de61e,,,
3acece88030a43b8bc4a0adfa051c658,,,
e194baf2a9e74ce5bcd212a6ac82aa76,,,
9a496608639b47fba3bf87f3a1eb75b0,,,
469ae12854c74a2399f5a45aa87a303b,,,
8b5ebcb4bf90407d9d0ad9024488e5ae,,,
2e42a108cee14fbfbda4e927f240ce5d,,,
ca2e1f81145d4e7aa46c2d301b602b75,,,
9bcaaf3eb5c948deb8b91a281ea4fa38,,,
f56b16da42da49de8077499849c323c2,,,
6aa09226007e492c9c2df52ac928c075,,,
56dccb62700a4c04b42646e060c087f5,,,
7275b87bbc39419a94d6f9e70d9aa230,,,
d55d89f11cf246acb28b671407c816cf,,,
4fc93b071fba4682991ef64b9c31a13a,,,
9546d0e5a2e14add87812f69aa3ad233,,,
1b1519d76bef48bbb8dc34de9c6188ff,,,
c6f348acd95d433bae4c9bcf19e1b36e,,,
23a9c34da8304e9bb4c600bdea55c97f,,,
f0c291951eb84aa3bf928ab1ebed7b20,,,
47f5275362fe46bcad8b7627da3e71ae,,,
0edda3f1c326402f9143465909613da5,,,
2907f8021cc84ac1a0119f0b357b7be6,,,
5c05f2decc8448a78bc37e454b561fa9,,,
ef53e15fe70b420f9d450b44643250e6,,,
ee198261770a4781866791d1f5138843,,,
3c21ab47912148b18d17e138b5188bb9,,,
a9b8151364714c919f758410e4a469ce,,,
637c311ac8c246a4b25603047666732b,,,
7310a52cf6fb4ffda93b97fec2ea1a8f,,,
1d02b3468d964cb9a7083f1795f6dd1e,,,
4eff4e5de55d4e6782261105a78f952a,,,
33c43f7f7b934ba4b04052c91c387978,,,
2f716956ff504963870d962aa58c7164,,,
607228a496f044f886f30fd665896905,,,
8d18190e237d4c2d9b9da8baad0ede25,,,
20829a10c11b4392a81c35caa2397abb,,,
f3cdcfdc3e084f208d95544515ef1750,,,
3fc0247818a948119d81bab57007cd98,,,
8311b1bcb27d4313aaa46381a13fd8f6,,,
b6aa8abe518348cb85f9a77f37ce217a,,,
e9670b35612840bd92354dd8936d3c6a,,,
f424512328914959870dff71eef97834,,,
f5db39ce2f65475192a0b98925361b8e,,,
c3e46abc7c514a949e1c28a64ce448d1,,,
2a6243c813e74d25be19026c186240b0,,,
e998901c394e415193485b2a58bf5b9e,,,
6c558fa5319945f2a40a240c83bafaa7,,,
bb2d48b22c0b4b3d9e97d3022570953b,,,
bb2d48b22c0b4b3d9e97d3022570953b,,,
59f804616d3a43efb1c01c5e51d84ec5,,,
0828edb5a3ad4e729f0153eda9f3d073,,,
ca73a5ca3fcc4c8394d57c7df4e783ae,,,
102a9c72450c4933b56e6274e8ad7111,,,
89efdec7fb56437cb4a0c273ff41e55f,,,
576c82e5db654bdd8ae3e06d970a7b77,,,
627b1a6474654ddea11e01e1bbb9910e,,,
547c20ece3e94dc8a30ac221aba227d1,,,
60b08eac30ab40b5bba4acade853d3a6,,,
9825d8eae9184125ab755bfc4222553c,,,
4bfc2fc979874fd9914634fd5a3cdf12,,,
736b53104d1d4d1b8c89f8f1b599dc07,,,
70d5c58250e0483ab12c55efc828a592,,,
fe17fd393bfb40d7a6fcf6ef67aec9f7,,,
88c4938f4f454c56972f6525613f9cbd,,,
c0413a9a25144c908e9277633df66cc2,,,
4e9fb8267caf43ef891acd317854f4fb,,,
01bbfc3091bf4daf9f60264787726cde,,,
67a84cb558274bbdac21230fde58f6d0,,,
15c92479258d4b83b1c0c23d04f77326,,,
0b0079b036c845139d5823255a34da7a,,,
8166d9cb8a4d4608b840cc8b553d4692,,,
54bff91cb8304713864b15259aeae229,,,
e1d20555f3a045f88a1b6940dc5c1ec1,,,
b013c75fd33e4735bbcd7e230b0db8fb,,,
e8a3b0d982ff4898a016fcf9f00111cc,,,
3088833906a748a8afaaa4351bb2310e,,,
8d3ca77ea22040ef9f778572cb0cf0e0,,,
c6203861c3ba4b9e92f75470ede2ebd1,,,
12c9673ffcc24be1ada1f6a71e45ff38,,,
639547fb5ed2488da9899a85f806c429,,,
87a36072478847fdbc61dcad95852b21,,,
da8fdb9a98f94f00aef520440d1776df,,,
83fee34c733840aa9450e8f6ea846047,,,
3c4d87829aa144d3a5e9b2b919e07770,,,
7b7f592996264d31b094ea795e336d15,,,
9da98a4e80d540a991d6298d7d3da23b,,,
bfbc0d925ed34094a025ff64cb89eff6,,,
d5423352d0f3434c800f64d4d0c5f9a3,,,
f010f238a67043a48532a9072a9a00ca,,,
86d70c1ffbdf4beeae1278bf1ce16644,,,
eb5b12b94d094e94ba6eb2e915b31383,,,
69ce0dc114c143c0a4cd6c3e53b68c59,,,
e12ab98f38024d20a1806bf48ce7b7c0,,,
1987ce14be394ec88f2f456b15cec6cc,,,
3fc45a12ba584f9b8b92346a33c3b1b5,,,
c44ac768e7304df58ebf13ba4c6eed11,,,
26da5d701a1048bf8336c58a3e92bbf1,,,
ce27e8b775b9400ea0b6d683d0c0d535,,,
232ed0b08d2a41708a8043b5beb93168,,,
fdc2d6ec62f94604b643cd18d84ccd49,,,
45c7ba6328e14e299f72e2e3ae1465e4,,,
976752c44c4542c79e86b1d172531ede,,,
e787c223b9a9468287a8e6fae8e0d4b0,,,
5e2b34b03faa40d3821e53b11929c0fd,,,
dffb4668110b4aeaadd7e010a936ba67,,,
d4f8d9e1c21c4eac81af75f69a31bb17,,,
6c97c64c98fd46d886c607b7391ef21c,,,
e594403ddfd74f8581ec98cfd3f02347,,,
a3058e93abbf4119bd3e8359236844f0,,,
887e03f4d4304e338e8013dd8a2d9f7d,,,
4908066efd5e4b24b939584e39199f0a,,,
ab5cf0494bb948c1be0cc15e3e70ba0a,,,
77dae0b63bc54ef9b2bb1b46e63b400c,,,
a9afbb69a660436d8685fa8efc48ce46,,,
9a887a5c191f471d9b4b4eeeebf3bcac,,,
